"rank","itemUrl","itemTitle","author","description","genres","genrecount"
"1508","/book/show/17347389-the-dream-thieves","The Dream Thieves (The Raven Cycle, #2)","Maggie Stiefvater","The second installment in the all-new series from the masterful, #1 NEW YORK TIMES bestselling author Maggie Stiefvater!Now that the ley lines around Cabeswater have been woken, nothing for Ronan, Gansey, Blue, and Adam will be the same. Ronan, for one, is falling more and more deeply into his dreams, and his dreams are intruding more and more into waking life. Meanwhile,
  The second installment in the all-new series from the masterful, #1 NEW YORK TIMES bestselling author Maggie Stiefvater!Now that the ley lines around Cabeswater have been woken, nothing for Ronan, Gansey, Blue, and Adam will be the same. Ronan, for one, is falling more and more deeply into his dreams, and his dreams are intruding more and more into waking life. Meanwhile, some very sinister people are looking for some of the same pieces of the Cabeswater puzzle that Gansey is after…
  ...more","/genres/fantasy;/genres/young-adult;/genres/paranormal;/genres/magic","3,346 users;2,810 users;1,246 users;598 users"
"1509","/book/show/433567.Flatland","Flatland: A Romance of Many Dimensions","Edwin A. Abbott;Banesh Hoffmann","This masterpiece of science (and mathematical) fiction is a delightfully unique and highly entertaining satire that has charmed readers for more than 100 years. The work of English clergyman, educator and Shakespearean scholar Edwin A. Abbott (1838-1926), it describes the journeys of A. Square, a mathematician and resident of the two-dimensional Flatland, where women-thin,
  This masterpiece of science (and mathematical) fiction is a delightfully unique and highly entertaining satire that has charmed readers for more than 100 years. The work of English clergyman, educator and Shakespearean scholar Edwin A. Abbott (1838-1926), it describes the journeys of A. Square, a mathematician and resident of the two-dimensional Flatland, where women-thin, straight lines-are the lowliest of shapes, and where men may have any number of sides, depending on their social status.Through strange occurrences that bring him into contact with a host of geometric forms, Square has adventures in Spaceland (three dimensions), Lineland (one dimension) and Pointland (no dimensions) and ultimately entertains thoughts of visiting a land of four dimensions—a revolutionary idea for which he is returned to his two-dimensional world. Charmingly illustrated by the author, Flatland is not only fascinating reading, it is still a first-rate fictional introduction to the concept of the multiple dimensions of space. ""Instructive, entertaining, and stimulating to the imagination."" — Mathematics Teacher.
  ...more","/genres/fiction;/genres/science-fiction;/genres/classics;/genres/mathematics","1,196 users;813 users;667 users;337 users"
"1510","/book/show/38500.Women","Women","Charles Bukowski","Alternate cover for this ISBN can be found hereLow-life writer and unrepentant alcoholic Henry Chinaski was born to survive. After decades of slacking off at low-paying dead-end jobs, blowing his cash on booze and women, and scrimping by in flea-bitten apartments, Chinaski sees his poetic star rising at last. Now, at fifty, he is reveling in his sudden rock-star life, runn
  Alternate cover for this ISBN can be found hereLow-life writer and unrepentant alcoholic Henry Chinaski was born to survive. After decades of slacking off at low-paying dead-end jobs, blowing his cash on booze and women, and scrimping by in flea-bitten apartments, Chinaski sees his poetic star rising at last. Now, at fifty, he is reveling in his sudden rock-star life, running three hundred hangovers a year, and maintaining a sex life that would cripple Casanova.With all of Bukowski's trademark humor and gritty, dark honesty, this 1978 follow-up to Post Office and Factotum is an uncompromising account of life on the edge.
  ...more","/genres/fiction;/genres/classics;/genres/novels;/genres/literature;/genres/american","626 users;91 users;80 users;80 users;67 users"
"1511","/book/show/121127.Faith_of_the_Fallen","Faith of the Fallen (Sword of Truth, #6)","Terry Goodkind","There is an alternate cover edition here.As his beloved Kahlan lies close to death, Richard Rahl, who distrusts prophecy more than anyone, is confronted by a compelling vision - one that bears a terrible price. It would mean taking Kahlan away to safety while abandoning his people to a grim fate.As savage hordes stand poised to invade their homeland, Richard and Kahlan's d
  There is an alternate cover edition here.As his beloved Kahlan lies close to death, Richard Rahl, who distrusts prophecy more than anyone, is confronted by a compelling vision - one that bears a terrible price. It would mean taking Kahlan away to safety while abandoning his people to a grim fate.As savage hordes stand poised to invade their homeland, Richard and Kahlan's devotion, not only to each other but to their cause and their duty, is imperiled in the descending fury of war. Amid the turmoil, Nicci, a woman from Richard's past, haunted by her memory of him, makes a fateful decision. Despite Nicci's hunger to understand the source of Richard's indomitable will, her burning passion to destroy him commits her to the unthinkable.
  ...more","/genres/fantasy;/genres/fiction;/genres/epic-fantasy","3,023 users;265 users;191 users"
"1512","/book/show/768889.A_Storm_of_Swords","A Storm of Swords: Steel and Snow (A Song of Ice and Fire #3, Part 1 of 2)","George R.R. Martin","Winter approaches Westeros like an angry beast.The Seven Kingdoms are divided by revolt and blood feud. In the northern wastes, a horde of hungry, savage people steeped in the dark magic of the wilderness is poised to invade the Kingdom of the North where Robb Stark wears his new-forged crown. And Robb's defences are ranged against the South, the land of the cunning and cr
  Winter approaches Westeros like an angry beast.The Seven Kingdoms are divided by revolt and blood feud. In the northern wastes, a horde of hungry, savage people steeped in the dark magic of the wilderness is poised to invade the Kingdom of the North where Robb Stark wears his new-forged crown. And Robb's defences are ranged against the South, the land of the cunning and cruel Lannisters, who have his young sisters in their power.Throughout Westeros, the war for the Iron Throne rages more fiercely than ever, but if the wall is breached, no king will live to claim it.
  ...more","/genres/fantasy;/genres/fiction","2,473 users;380 users"
"1513","/book/show/38462.Giovanni_s_Room","Giovanni's Room","James     Baldwin","Baldwin's haunting and controversial second novel is his most sustained treatment of sexuality, and a classic of gay literature. In a 1950s Paris swarming with expatriates and characterized by dangerous liaisons and hidden violence, an American finds himself unable to repress his impulses, despite his determination to live the conventional life he envisions for himself. Af
  Baldwin's haunting and controversial second novel is his most sustained treatment of sexuality, and a classic of gay literature. In a 1950s Paris swarming with expatriates and characterized by dangerous liaisons and hidden violence, an American finds himself unable to repress his impulses, despite his determination to live the conventional life he envisions for himself. After meeting and proposing to a young woman, he falls into a lengthy affair with an Italian bartender and is confounded and tortured by his sexual identity as he oscillates between the two. Examining the mystery of love and passion in an intensely imagined narrative, Baldwin creates a moving and complex story of death and desire that is revelatory in its insight.
  ...more","/genres/fiction;/genres/classics;/genres/glbt;/genres/queer;/genres/gay","893 users;527 users;380 users;209 users;116 users"
"1514","/book/show/16077824-dream-caster","Dream Caster (Dream Cycle, #1)","Najeev Raj Nadarajah","Weaver, a young man who longs for a different life, is forced to flee his refugee settlement when everyone in it is massacred. In his flight for safety, Weaver stumbles upon a refuge of survivors hidden among the remains of a ruined city once known as Toronto.In the midst of building a new life, Weaver discovers he can do something strange: cast dreams into reality. Convin
  Weaver, a young man who longs for a different life, is forced to flee his refugee settlement when everyone in it is massacred. In his flight for safety, Weaver stumbles upon a refuge of survivors hidden among the remains of a ruined city once known as Toronto.In the midst of building a new life, Weaver discovers he can do something strange: cast dreams into reality. Convinced it’s just an anomaly, he ignores it. That is until he learns of the mysterious man who waged war against his world — a man who calls himself the Dream Eater and harnesses the ability to animate nightmares into existence. The peaceful life Weaver hoped for begins to unravel when those of his new home are besieged by the Dream Eater and their lives placed in jeopardy. Weaver must learn to master his accursed ability before his new home is eradicated by the Dream Eater and human existence is pushed to the brink of extinction.
  ...more","/genres/fantasy;/genres/young-adult;/genres/science-fiction;/genres/dystopia;/genres/post-apocalyptic","45 users;17 users;9 users;8 users;7 users"
"1515","/book/show/40159.The_King_of_Attolia","The King of Attolia (The Queen's Thief, #3)","Megan Whalen Turner","By scheming and theft, the Thief of Eddis has become King of Attolia. Eugenides wanted the queen, not the crown, but he finds himself trapped in a web of his own making.Then he drags a naive young guard into the center of the political maelstrom. Poor Costis knows he is the victim of the king's caprice, but his contempt for Eugenides slowly turns to grudging respect. Thoug
  By scheming and theft, the Thief of Eddis has become King of Attolia. Eugenides wanted the queen, not the crown, but he finds himself trapped in a web of his own making.Then he drags a naive young guard into the center of the political maelstrom. Poor Costis knows he is the victim of the king's caprice, but his contempt for Eugenides slowly turns to grudging respect. Though struggling against his fate, the newly crowned king is much more than he appears. Soon the corrupt Attolian court will learn that its subtle and dangerous intrigue is no match for Eugenides.
  ...more","/genres/fantasy;/genres/young-adult;/genres/fiction;/genres/adventure","1,666 users;777 users;211 users;123 users"
"1516","/book/show/929782.Martin_Eden","Martin Eden","Jack London;Andrew Sinclair","The semiautobiographical Martin Eden is the most vital and original character Jack London ever created. Set in San Francisco, this is the story of Martin Eden, an impoverished seaman who pursues, obsessively and aggressively, dreams of education and literary fame. London, dissatisfied with the rewards of his own success, intended Martin Eden as an attack on individualism a
  The semiautobiographical Martin Eden is the most vital and original character Jack London ever created. Set in San Francisco, this is the story of Martin Eden, an impoverished seaman who pursues, obsessively and aggressively, dreams of education and literary fame. London, dissatisfied with the rewards of his own success, intended Martin Eden as an attack on individualism and a criticism of ambition; however, much of its status as a classic has been conferred by admirers of its ambitious protagonist.Andrew Sinclair's wide-ranging introduction discusses the conflict between London's support of socialism and his powerful self-will. Sinclair also explores the parallels and divergences between the life of Martin Eden and that of his creator, focusing on London's mental depressions and how they affected his depiction of Eden.
  ...more","/genres/classics;/genres/fiction;/genres/american;/genres/literature;/genres/20th-century;/genres/novels;/genres/adventure;/genres/historical-fiction;/genres/philosophy;/genres/historical","259 users;237 users;50 users;38 users;26 users;26 users;21 users;19 users;13 users;9 users"
"1517","/book/show/205476.Our_Town","Our Town","Thornton Wilder;Donald Margulies;Tappan Wilder","Our Town was first produced and published in 1938 to wide acclaim. This Pulitzer Prize-winning drama of life in the small village of Grover's Corners, an allegorical representation of all life, has become a classic. It is Thornton Wilder's most renowned and most frequently performed play.","/genres/plays;/genres/classics;/genres/drama;/genres/fiction;/genres/school;/genres/theatre;/genres/read-for-school;/genres/literature;/genres/high-school;/genres/american","1,363 users;812 users;464 users;348 users;145 users;118 users;80 users;73 users;65 users;57 users"
"1518","/book/show/5344.Hard_Times","Hard Times","Charles Dickens","Longman's new Cultural Editions Series, Hard Times, by Charles Dickens, edited by Jeff Nunokawa, includes Books 1-3 of Hard Times and contextual materials on the age of Dickens.","/genres/classics;/genres/fiction;/genres/literature;/genres/19th-century","1,894 users;981 users;249 users;179 users"
"1519","/book/show/31244.Our_Mutual_Friend","Our Mutual Friend","Charles Dickens","A satiric masterpiece about the allure and peril of money, Our Mutual Friend revolves around the inheritance of a dust-heap where the rich throw their trash. When the body of John Harmon, the dust-heap’s expected heir, is found in the Thames, fortunes change hands surprisingly, raising to new heights “Noddy” Boffin, a low-born but kindly clerk who becomes “the Golden Dustm
  A satiric masterpiece about the allure and peril of money, Our Mutual Friend revolves around the inheritance of a dust-heap where the rich throw their trash. When the body of John Harmon, the dust-heap’s expected heir, is found in the Thames, fortunes change hands surprisingly, raising to new heights “Noddy” Boffin, a low-born but kindly clerk who becomes “the Golden Dustman.” Charles Dickens’s last complete novel, Our Mutual Friend encompasses the great themes of his earlier works: the pretensions of the nouveaux riches, the ingenuousness of the aspiring poor, and the unfailing power of wealth to corrupt all who crave it. With its flavorful cast of characters and numerous subplots, Our Mutual Friend is one of Dickens’s most complex—and satisfying—novels.
  ...more","/genres/classics;/genres/fiction;/genres/literature","1,306 users;497 users;120 users"
"1520","/book/show/28260587-empire-of-storms","Empire of Storms (Throne of Glass, #5)","Sarah J. Maas","KINGDOMS WILL COLLIDE.The long path to the throne has only just begun for Aelin Galathynius as war looms on the horizon. Loyalties have been broken and bought, friends have been lost and gained, and those who possess magic find themselves at odds with those who don't.With her heart sworn to the warrior-prince by her side, and her fealty pledged to the people she is determi
  KINGDOMS WILL COLLIDE.The long path to the throne has only just begun for Aelin Galathynius as war looms on the horizon. Loyalties have been broken and bought, friends have been lost and gained, and those who possess magic find themselves at odds with those who don't.With her heart sworn to the warrior-prince by her side, and her fealty pledged to the people she is determined to save, Aelin will delve into the depths of her power to protect those she loves. But as monsters emerge from the horrors of the past, and dark forces become poised to claim her world, the only chance for salvation will lie in a desperate quest that may mark the end of everything Aelin holds dear.In this breathtaking fifth installment of the New York Times bestselling Throne of Glass series, Aelin will have to choose what—and who—to sacrifice if she's to keep the world of Erilea from breaking apart.
  ...more","/genres/fantasy;/genres/young-adult;/genres/romance;/genres/magic","2,874 users;1,078 users;561 users;415 users"
"1521","/book/show/16213.The_Hot_Zone","The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus","Richard   Preston","The bestselling landmark account of the first emergence of the Ebola virus. A highly infectious, deadly virus from the central African rain forest suddenly appears in the suburbs of Washington, D.C. There is no cure. In a few days 90 percent of its victims are dead. A secret military SWAT team of soldiers and scientists is mobilized to stop the outbreak of this exotic ""hot
  The bestselling landmark account of the first emergence of the Ebola virus. A highly infectious, deadly virus from the central African rain forest suddenly appears in the suburbs of Washington, D.C. There is no cure. In a few days 90 percent of its victims are dead. A secret military SWAT team of soldiers and scientists is mobilized to stop the outbreak of this exotic ""hot"" virus. The Hot Zone tells this dramatic story, giving a hair-raising account of the appearance of rare and lethal viruses and their ""crashes"" into the human race. Shocking, frightening, and impossible to ignore, The Hot Zone proves that truth really is scarier than fiction.From the Paperback edition.
  ...more","/genres/non-fiction;/genres/science;/genres/history;/genres/medical;/genres/medicine;/genres/thriller","1,792 users;1,123 users;267 users;223 users;198 users;160 users"
"1522","/book/show/105549.The_Sneetches_and_Other_Stories","The Sneetches and Other Stories","Dr. Seuss","Illus. in full color. ""Four funny easy-to-read stories all with subtly planted moral lessons.""--Publishers Weekly.  THE SNEETCHES""Now, the Star-Belly Sneetches / Had bellies with stars. / The Plain-Belly Sneetches / Had none upon thars."" This collection of four of Dr. Seuss's most winning stories begins with that unforgettable tale of the unfortunate Sneetches, bamboozled
  Illus. in full color. ""Four funny easy-to-read stories all with subtly planted moral lessons.""--Publishers Weekly.  THE SNEETCHES""Now, the Star-Belly Sneetches / Had bellies with stars. / The Plain-Belly Sneetches / Had none upon thars."" This collection of four of Dr. Seuss's most winning stories begins with that unforgettable tale of the unfortunate Sneetches, bamboozled by one Sylvester McMonkey McBean (""the Fix-it-up Chappie""), who teaches them that pointless prejudice can be costly.THE ZAXFollowing the Sneetches, a South-Going Zax and a North-Going Zax seem determined to butt heads on the prairie of Prax.TOO MANY DAVESThen there's the tongue-twisting story of Mrs. McCave--you know, the one who had 23 sons and named them all Dave. (She realizes that she'd be far less confused had she given them different names, like Marvin O'Gravel Balloon Face or Zanzibar Buck-Buck McFate.)WHAT WAS I SCARED OF?A slightly spooky adventure involving a pair of haunted trousers--""What was I scared of?""--closes out the collection. Sneetches and Other Stories is Seuss at his best, with distinctively wacky illustrations and ingeniously weird prose. (Ages 4 to 8) --Paul Hughes
  ...more","/genres/childrens;/genres/picture-books;/genres/fiction","529 users;458 users;171 users"
"1523","/book/show/22090082-vampire-princess-rising","Vampire Princess Rising (The Winters Family Saga, #2)","Jami Brumfield","Savannah Winters went from homecoming queen to vampire princess in one terrifying night. Now she must find a way to survive the dark world she lives without letting the anger and depression overwhelm and destroy her. Maintaining a balance between her supernatural identity and human cover is more difficult then she could ever imagine. And her decision to separate herself fr
  Savannah Winters went from homecoming queen to vampire princess in one terrifying night. Now she must find a way to survive the dark world she lives without letting the anger and depression overwhelm and destroy her. Maintaining a balance between her supernatural identity and human cover is more difficult then she could ever imagine. And her decision to separate herself from her family only makes matters worse. How could she forgive her sister, Rebecca for the role she played in her demise? It’s a question Rebecca struggles with herself as she attempts to rebuild the Arizona wolf pack after the massacre that left her a lone wolf. How can she convince her dear sweet sister, Savannah to forgive her? While Rebecca and Savannah juggle the challenges of their new identities, responsibilities, political alliances, and the men in their lives Hunter becomes obsessed with unlocking the powers they have as natural born witches and finding a cure to the viruses that changed his sisters lives indefinitely. More family secrets unravel and threaten to destroy the fragile connection the Winters siblings share while more enemies come out of the darkness to tear their new worlds apart.
  ...more","/genres/vampires;/genres/werewolves;/genres/witches;/genres/angels;/genres/paranormal-romance;/genres/paranormal;/genres/magic;/genres/romance;/genres/supernatural;/genres/shapeshifters","15 users;9 users;8 users;8 users;6 users;6 users;5 users;3 users;3 users;2 users"
"1524","/book/show/37380.The_Heart_is_a_Lonely_Hunter","The Heart is a Lonely Hunter","Carson McCullers","With the publication of her first novel, The Heart Is a Lonely Hunter, Carson McCullers, all of twenty-three, became a literary sensation. With its profound sense of moral isolation and its compassionate glimpses into its characters' inner lives, the novel is considered McCullers' finest work, and an enduring masterpiece.At its center is the deaf-mute John Singer, who beco
  With the publication of her first novel, The Heart Is a Lonely Hunter, Carson McCullers, all of twenty-three, became a literary sensation. With its profound sense of moral isolation and its compassionate glimpses into its characters' inner lives, the novel is considered McCullers' finest work, and an enduring masterpiece.At its center is the deaf-mute John Singer, who becomes the confidant for various types of misfits in a Georgia mill town during the 1930s. Each one yearns for escape from small-town life. When Singer's mute companion goes insane, Singer moves into the Kelly house, where Mick Kelly, the book's heroine (loosely based on McCullers), finds solace in her music. Brilliantly attuned to the spiritual isolation that underlies the human condition, and with a deft sense for racial tensions in the South, McCullers spins a haunting, unforgettable story that gives voice to the rejected, the forgotten, and the mistreated--and, through Mick Kelly, to the quiet, intensely personal search for beauty.
  ...more","/genres/classics;/genres/literature;/genres/novels;/genres/southern;/genres/american;/genres/historical-fiction;/genres/southern-gothic;/genres/literary-fiction;/genres/coming-of-age;/genres/adult-fiction","241 users;207 users;175 users;168 users;145 users;133 users;109 users;108 users;90 users;69 users"
"1525","/book/show/10589.Bag_of_Bones","Bag of Bones","Stephen King","Four years after the sudden death of his wife, forty-year-old bestselling novelist Mike Noonan is still grieving. Unable to write, and plagued by vivid nightmares set at the western Maine summerhouse he calls Sara Laughs, Mike reluctantly returns to the lakeside getaway. There, he finds his beloved Yankee town held in the grip of a powerful millionaire, Max Devore, whose v
  Four years after the sudden death of his wife, forty-year-old bestselling novelist Mike Noonan is still grieving. Unable to write, and plagued by vivid nightmares set at the western Maine summerhouse he calls Sara Laughs, Mike reluctantly returns to the lakeside getaway. There, he finds his beloved Yankee town held in the grip of a powerful millionaire, Max Devore, whose vindictive purpose is to take his three-year-old granddaughter, Kyra, away from her widowed young mother, Mattie. As Mike is drawn into Mattie and Kyra's struggle, as he falls in love with both of them, he is also drawn into the mystery of Sara Laughs, now the site of ghostly visitations and escalating terrors. What are the forces that have been unleashed here—and what do they want of Mike Noonan?It is no secret that King is one of our most mesmerizing storytellers. In Bag of Bones, he proves to be one of our most moving as well.
  ...more","/genres/horror;/genres/fiction;/genres/thriller","2,547 users;926 users;268 users"
"1526","/book/show/20564.The_Mill_on_the_Floss","The Mill on the Floss","George Eliot;A.S. Byatt","If life had no love in it, what else was there for Maggie?'Brought up at Dorlcote Mill, Maggie Tulliver worships her brother Tom and is desperate to win the approval of her parents, but her passionate, wayward nature and her fierce intelligence bring her into constant conflict with her family. As she reaches adulthood, the clash between their expectations and her desires i
  If life had no love in it, what else was there for Maggie?'Brought up at Dorlcote Mill, Maggie Tulliver worships her brother Tom and is desperate to win the approval of her parents, but her passionate, wayward nature and her fierce intelligence bring her into constant conflict with her family. As she reaches adulthood, the clash between their expectations and her desires is painfully played out as she finds herself torn between her relationships with three very different men: her proud and stubborn brother, a close friend who is also the son of her family's worst enemy, and a charismatic but dangerous suitor. With its poignant portrayal of sibling relationships, The Mill on the Floss is considered George Eliot's most autobiographical novel; it is also one of her most powerful and moving.In this edition writer and critic A.S. Byatt provides full explanatory notes and an introduction relating Mill on the Floss to George Eliot's own life and times.Edited with an introduction and notes by A.S. BYATT
  ...more","/genres/classics;/genres/fiction;/genres/19th-century;/genres/literature","1,595 users;656 users;157 users;147 users"
"1527","/book/show/4692.The_Physician","The Physician (Cole Family Trilogy, #1)","Noah Gordon","In the 11th century, Rob Cole left poor, disease-ridden London to make his way across the land, hustling, juggling, peddling cures to the sick—and discovering the mystical ways of healing. It was on his travels that he found his own very real gift for healing—a gift that urged him on to become a doctor. So all consuming was his dream, that he made the perilous, unheard-of
  In the 11th century, Rob Cole left poor, disease-ridden London to make his way across the land, hustling, juggling, peddling cures to the sick—and discovering the mystical ways of healing. It was on his travels that he found his own very real gift for healing—a gift that urged him on to become a doctor. So all consuming was his dream, that he made the perilous, unheard-of journey to Persia, to its Arab universities where he would undertake a transformation that would shape his destiny forever.
  ...more","/genres/historical-fiction;/genres/fiction;/genres/historical;/genres/medieval","661 users;245 users;168 users;47 users"
"1528","/book/show/6441509-shadow-souls","Shadow Souls (The Vampire Diaries: The Return, #2)","L.J. Smith","On the run . . .Elena Gilbert's love, the vampire Stefan Salvatore, has been captured and imprisoned by demonic spirits who are wreaking havoc in Fell's Church. While her friends Bonnie and Meredith explore the evil that has taken over their town, Elena goes in search of Stefan.In order to find him, she entrusts her life to Stefan's brother, Damon Salvatore, the handsome b
  On the run . . .Elena Gilbert's love, the vampire Stefan Salvatore, has been captured and imprisoned by demonic spirits who are wreaking havoc in Fell's Church. While her friends Bonnie and Meredith explore the evil that has taken over their town, Elena goes in search of Stefan.In order to find him, she entrusts her life to Stefan's brother, Damon Salvatore, the handsome but deadly vampire who wants Elena, body and soul. Along with her childhood friend Matt, they set out for the slums of the Dark Dimension, where Stefan is being held captive. It is rumored to be a world where vampires and demons roam free, but humans must live enslaved to their supernatural masters. . . .Elena will stop at nothing to free Stefan. Yet with each passing day the tension between Elena and Damon grows, and she is faced with a terrible decision: Which brother does she really want?Back in Fell's Church, Bonnie and Meredith have made some dire discoveries. They hastily try to follow Elena and warn her—only to be caught up in Elena's most dangerous adventure yet.
  ...more","/genres/vampires;/genres/young-adult;/genres/fantasy;/genres/paranormal;/genres/romance;/genres/supernatural;/genres/paranormal-romance;/genres/fiction;/genres/urban-fantasy;/genres/witches","647 users;436 users;323 users;249 users;196 users;120 users;98 users;73 users;54 users;34 users"
"1529","/book/show/7664334-amy-roger-s-epic-detour","Amy & Roger's Epic Detour","Morgan Matson","Amy Curry is not looking forward to her summer. Her mother decided to move across the country and now it's Amy's responsibility to get their car from California to Connecticut. The only problem is, since her father died in a car accident, she isn't ready to get behind the wheel. Enter Roger. An old family friend, he also has to make the cross-country trip - and has plenty
  Amy Curry is not looking forward to her summer. Her mother decided to move across the country and now it's Amy's responsibility to get their car from California to Connecticut. The only problem is, since her father died in a car accident, she isn't ready to get behind the wheel. Enter Roger. An old family friend, he also has to make the cross-country trip - and has plenty of baggage of his own. The road home may be unfamiliar - especially with their friendship venturing into uncharted territory - but together, Amy and Roger will figure out how to map their way.
  ...more","/genres/young-adult;/genres/contemporary;/genres/romance;/genres/road-trip;/genres/realistic-fiction;/genres/fiction;/genres/chick-lit;/genres/travel;/genres/young-adult-contemporary;/genres/teen","1,766 users;1,469 users;1,148 users;336 users;279 users;224 users;223 users;196 users;159 users;113 users"
"1530","/book/show/6871617-this-side-of-the-grave","This Side of the Grave (Night Huntress, #5)","Jeaniene Frost","Danger waits on both sides of the grave.  Half-vampire Cat Crawfield and her vampire husband Bones have fought for their lives, as well as for their relationship. But just when they've triumphed over the latest battle, Cat's new and unexpected abilities threaten to upset a long-standing balance . . . With the mysterious disappearance of vampires, rumors abound that a speci
  Danger waits on both sides of the grave.  Half-vampire Cat Crawfield and her vampire husband Bones have fought for their lives, as well as for their relationship. But just when they've triumphed over the latest battle, Cat's new and unexpected abilities threaten to upset a long-standing balance . . . With the mysterious disappearance of vampires, rumors abound that a species war is brewing. A zealot is inciting tensions between the vampires and ghouls, and if these two powerful groups clash, innocent mortals could become collateral damage. Now Cat and Bones are forced to seek help from a dangerous ""ally""; the ghoul queen of New Orleans herself. But the price of her assistance may prove more treacherous than even the threat of a supernatural war . . . to say nothing of the repercussions Cat never imagined.
  ...more","/genres/vampires;/genres/paranormal;/genres/urban-fantasy;/genres/paranormal-romance;/genres/romance;/genres/fantasy","1,130 users;989 users;974 users;842 users;610 users;470 users"
"1531","/book/show/12558285-splintered","Splintered (Splintered, #1)","A.G. Howard","This stunning debut captures the grotesque madness of a mystical under-land, as well as a girl’s pangs of first love and independence.Alyssa Gardner hears the whispers of bugs and flowers—precisely the affliction that landed her mother in a mental hospital years before. This family curse stretches back to her ancestor Alice Liddell, the real-life inspiration for Lewis Carr
  This stunning debut captures the grotesque madness of a mystical under-land, as well as a girl’s pangs of first love and independence.Alyssa Gardner hears the whispers of bugs and flowers—precisely the affliction that landed her mother in a mental hospital years before. This family curse stretches back to her ancestor Alice Liddell, the real-life inspiration for Lewis Carroll’s Alice’s Adventures in Wonderland. Alyssa might be crazy, but she manages to keep it together. For now.When her mother’s mental health takes a turn for the worse, Alyssa learns that what she thought was fiction is based in terrifying reality. The real Wonderland is a place far darker and more twisted than Lewis Carroll ever let on. There, Alyssa must pass a series of tests, including draining an ocean of Alice’s tears, waking the slumbering tea party, and subduing a vicious bandersnatch, to fix Alice’s mistakes and save her family. She must also decide whom to trust: Jeb, her gorgeous best friend and secret crush, or the sexy but suspicious Morpheus, her guide through Wonderland, who may have dark motives of his own.
  ...more","/genres/fantasy;/genres/young-adult;/genres/romance;/genres/retellings","2,052 users;1,323 users;554 users;479 users"
"1532","/book/show/12468.The_Executioner_s_Song","The Executioner's Song","Norman Mailer","Winner of the 1980 Pulitzer PrizeIn what is arguably his greatest book, America's most heroically ambitious writer follows the short, blighted career of Gary Gilmore, an intractably violent product of America's prisons who became notorious for two reasons: first, for robbing two men in 1976, then killing them in cold blood; and, second, after being tried and convicted, for
  Winner of the 1980 Pulitzer PrizeIn what is arguably his greatest book, America's most heroically ambitious writer follows the short, blighted career of Gary Gilmore, an intractably violent product of America's prisons who became notorious for two reasons: first, for robbing two men in 1976, then killing them in cold blood; and, second, after being tried and convicted, for insisting on dying for his crime. To do so, he had to fight a system that seemed paradoxically intent on keeping him alive long after it had sentenced him to death. Norman Mailer tells Gilmore's story--and those of the men and women caught up in his procession toward the firing squad--with implacable authority, steely compassion, and a restraint that evokes the parched landscapes and stern theology of Gilmore's Utah. The Executioner's Song is a trip down the wrong side of the tracks to the deepest sources of American loneliness and violence. It is a towering achievement--impossible to put down, impossible to forget.
  ...more","/genres/non-fiction;/genres/true-crime;/genres/crime;/genres/biography;/genres/classics;/genres/history;/genres/literature;/genres/journalism;/genres/american;/genres/20th-century","392 users;321 users;129 users;107 users;79 users;64 users;47 users;24 users;23 users;16 users"
"1533","/book/show/332775.Incarceron","Incarceron (Incarceron, #1)","Catherine Fisher","Incarceron -- a futuristic prison, sealed from view, where the descendants of the original prisoners live in a dark world torn by rivalry and savagery. It is a terrifying mix of high technology -- a living building which pervades the novel as an ever-watchful, ever-vengeful character, and a typical medieval torture chamber -- chains, great halls, dungeons. A young prisoner
  Incarceron -- a futuristic prison, sealed from view, where the descendants of the original prisoners live in a dark world torn by rivalry and savagery. It is a terrifying mix of high technology -- a living building which pervades the novel as an ever-watchful, ever-vengeful character, and a typical medieval torture chamber -- chains, great halls, dungeons. A young prisoner, Finn, has haunting visions of an earlier life, and cannot believe he was born here and has always been here. In the outer world, Claudia, daughter of the Warden of Incarceron, is trapped in her own form of prison -- a futuristic world constructed beautifully to look like a past era, an imminent marriage she dreads. She knows nothing of Incarceron, except that it exists. But there comes a moment when Finn, inside Incarceron, and Claudia, outside, simultaneously find a device -- a crystal key, through which they can talk to each other. And so the plan for Finn's escape is born ...
  ...more","/genres/fantasy;/genres/young-adult;/genres/dystopia;/genres/science-fiction;/genres/steampunk","1,811 users;1,644 users;858 users;566 users;501 users"
"1534","/book/show/357.The_Long_Dark_Tea_Time_of_the_Soul","The Long Dark Tea-Time of the Soul (Dirk Gently, #2)","Douglas Adams","When a passenger check-in desk at London's Heathrow Airport disappears in a ball of orange flame, the explosion is deemed an act of God. But which god, wonders holistic detective Dirk Gently? What god would be hanging around Heathrow trying to catch the 3:37 to Oslo? And what has this to do with Dirk's latest--and late-- client, found only this morning with his head revolv
  When a passenger check-in desk at London's Heathrow Airport disappears in a ball of orange flame, the explosion is deemed an act of God. But which god, wonders holistic detective Dirk Gently? What god would be hanging around Heathrow trying to catch the 3:37 to Oslo? And what has this to do with Dirk's latest--and late-- client, found only this morning with his head revolving atop the hit record ""Hot Potato""? Amid the hostile attentions of a stray eagle and the trauma of a very dirty refrigerator, super-sleuth Dirk Gently will once again solve the mysteries of the universe...
  ...more","/genres/fiction;/genres/fantasy;/genres/science-fiction;/genres/mystery;/genres/humor","1,026 users;966 users;892 users;362 users;341 users"
